	10CA_S168pdamsymd.sam.counts	10CL_S148pdamsymd.sam.counts	10NA_S169pdamsymd.sam.counts	10NL_S149pdamsymd.sam.counts	1CA_S150pdamsymd.sam.counts	1NA_S151pdamsymd.sam.counts	1NL_S136pdamsymd.sam.counts	2CA_S152pdamsymd.sam.counts	2NA_S153pdamsymd.sam.counts	3CA_S154pdamsymd.sam.counts	3CL_S137pdamsymd.sam.counts	3NA_S155pdamsymd.sam.counts	3NL_S138pdamsymd.sam.counts	4CA_S156pdamsymd.sam.counts	4CL_S139pdamsymd.sam.counts	4NA_S157pdamsymd.sam.counts	5CA_S158pdamsymd.sam.counts	5CL_S140pdamsymd.sam.counts	5NA_S159pdamsymd.sam.counts	6CA_S160pdamsymd.sam.counts	6CL_S141pdamsymd.sam.counts	6NA_S161pdamsymd.sam.counts	6NL_S142pdamsymd.sam.counts	7CA_S162pdamsymd.sam.counts	7CL_S143pdamsymd.sam.counts	7NA_S163pdamsymd.sam.counts	8CA_S164pdamsymd.sam.counts	8CL_S144pdamsymd.sam.counts	8NA_S165pdamsymd.sam.counts	8NL_S145pdamsymd.sam.counts	9CA_S166pdamsymd.sam.counts	9CL_S146pdamsymd.sam.counts	9NA_S167pdamsymd.sam.counts	9NL_S147pdamsymd.sam.counts	
isogroup00014205	5	2	1	0	2	2	3	4	3	4	1	0	4	2	3	7	1	0	1	3	3	2	1	0	0	2	1	5	2	3	1	2	3	4	
isogroup00014206	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	3	0	2	1	
isogroup00014208	2	0	1	0	2	2	0	8	4	9	0	3	0	0	0	0	7	1	6	4	1	3	0	18	1	5	1	0	0	0	4	0	1	0	
isogroup00014209	5	0	3	1	2	1	0	0	0	2	0	0	0	2	0	0	5	0	3	2	1	0	0	6	0	1	1	0	1	0	2	1	3	1	
isogroup00014210	416	583	411	644	256	381	351	162	185	1000	352	669	596	518	292	511	433	407	485	579	681	420	537	179	185	263	659	426	431	361	546	601	307	451	
isogroup00014211	30	37	26	51	34	22	31	16	11	23	37	19	43	26	50	27	25	58	8	25	50	15	56	12	30	30	36	58	34	37	22	24	42	26	
isogroup00014212	3	7	5	6	3	7	17	3	4	4	5	1	8	5	12	1	15	7	2	1	9	2	3	6	11	5	2	9	4	4	6	6	9	4	
isogroup00014213	10	13	11	11	12	16	11	16	9	14	12	3	7	11	11	16	9	18	11	10	9	8	7	12	16	14	9	12	7	9	10	6	12	7	
isogroup00014214	46	33	56	41	35	56	28	83	84	52	28	41	27	41	32	49	44	33	34	61	33	49	28	47	33	88	47	21	54	26	51	23	67	23	
isogroup00014215	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014216	12	4	20	3	14	15	2	12	6	11	2	15	8	13	5	6	7	3	16	31	7	20	6	9	6	17	23	5	16	5	15	2	23	3	
isogroup00014217	26	16	28	16	19	41	11	29	29	43	8	32	13	18	6	27	31	16	22	22	14	24	11	13	8	21	32	8	24	9	17	5	23	12	
isogroup00014218	4	14	1	12	3	3	13	3	3	3	13	0	16	2	11	3	2	20	1	2	12	2	14	0	8	0	0	13	3	8	1	10	2	12	
isogroup00014219	3	1	7	1	2	6	1	10	4	4	0	4	2	8	0	5	3	0	1	6	0	2	1	11	0	5	7	0	5	0	6	0	6	0	
isogroup00014220	73	27	70	39	61	57	26	37	34	25	31	56	35	56	43	49	51	33	48	52	37	46	20	18	14	50	56	25	63	27	61	23	58	28	
isogroup00014222	18	13	22	9	18	25	8	27	18	12	11	12	7	17	10	18	36	11	17	20	9	10	12	16	11	23	23	16	18	11	20	13	27	4	
isogroup00014223	7	10	5	6	2	6	3	5	3	4	6	8	3	3	9	4	4	6	5	2	5	11	6	5	2	7	8	5	4	4	10	3	9	1	
isogroup00014224	42	37	28	45	25	23	15	49	20	26	29	17	39	38	24	31	30	50	25	31	33	35	37	20	33	53	33	37	17	40	33	28	40	23	
isogroup00014226	174	177	141	153	142	145	122	186	138	138	120	112	177	102	149	148	149	162	115	129	176	141	157	117	138	202	147	144	165	178	115	138	132	137	
isogroup00014227	3	1	1	1	1	0	1	1	0	1	0	0	3	3	4	1	0	0	0	0	0	3	1	1	1	1	0	1	0	0	2	3	3	1	
isogroup00014228	0	0	1	3	4	1	14	0	1	0	1	1	4	1	4	0	0	2	0	0	4	1	3	0	20	1	2	5	2	1	1	6	0	1	
isogroup00014229	2	176	1	154	8	6	170	3	3	2	141	3	175	2	141	4	2	154	3	4	157	5	150	3	195	7	2	146	1	108	1	106	3	153	
isogroup00014230	2	7	4	4	5	4	12	7	3	3	5	5	5	3	11	2	3	7	2	4	7	2	7	1	12	4	1	9	3	9	7	4	7	11	
isogroup00014231	55	36	40	30	35	43	17	48	39	33	31	37	27	28	30	44	35	40	36	48	22	29	40	25	16	50	46	35	54	34	21	22	44	21	
isogroup00014232	0	3	5	4	6	6	1	20	3	2	5	1	6	1	3	6	4	7	5	2	5	3	4	4	7	2	4	1	9	11	2	6	7	2	
isogroup00014233	4	3	7	14	3	3	2	4	5	0	4	3	6	4	7	4	1	9	3	5	5	6	6	9	11	2	4	4	4	8	3	7	7	4	
isogroup00014234	47	44	70	39	58	43	31	67	31	50	37	51	54	29	39	57	55	53	48	44	50	41	53	34	38	74	79	50	55	45	40	38	48	27	
isogroup00014235	28	23	21	19	25	23	13	67	59	18	11	24	30	26	14	29	32	18	16	25	20	19	19	16	17	37	23	14	18	27	17	15	24	12	
isogroup00014236	17	4	9	4	3	8	3	8	13	12	2	7	2	7	3	3	11	6	8	10	3	11	1	2	2	12	8	7	13	2	8	5	5	4	
isogroup00014237	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
isogroup00014238	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	
isogroup00014239	20	1	22	2	13	9	0	11	8	5	4	13	0	6	2	14	7	1	8	9	1	12	0	5	0	22	12	0	21	1	10	1	9	1	
isogroup00014240	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	1	0	1	1	0	2	0	0	0	1	1	
isogroup00014241	0	0	0	0	0	0	1	0	0	1	3	1	0	0	0	0	0	1	0	0	1	0	3	0	0	1	1	3	0	2	0	1	0	2	
isogroup00014242	6	2	4	1	0	3	0	8	10	1	1	0	6	4	2	0	1	4	1	3	1	0	3	0	2	5	3	7	0	8	1	1	0	2	
isogroup00014243	1	0	1	1	0	1	1	0	0	2	0	2	1	0	1	1	2	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	
isogroup00014244	83	367	61	173	101	99	132	182	56	115	229	125	198	51	125	100	105	166	77	78	167	113	246	67	177	91	99	99	55	131	63	143	80	375	
isogroup00014245	93	194	88	146	119	73	141	148	36	69	151	84	179	112	103	63	87	150	86	90	133	137	133	51	133	89	96	117	65	60	107	124	142	175	
isogroup00014247	13	10	9	8	18	14	6	23	5	11	2	13	9	10	5	6	9	15	12	17	8	5	6	12	6	10	15	9	11	7	13	3	17	6	
isogroup00014248	45	59	43	100	52	39	39	46	20	47	61	32	71	46	54	49	48	79	39	54	82	37	83	43	62	61	58	74	40	77	36	51	50	52	
isogroup00014249	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	6	0	0	1	1	0	0	0	1	0	0	3	0	3	0	1	0	0	0	
isogroup00014250	109	136	96	136	74	98	120	109	48	77	95	50	144	75	109	83	99	128	68	99	119	79	133	34	113	96	98	127	68	136	63	105	113	93	
isogroup00014251	1	0	0	0	0	0	2	0	0	0	5	1	3	0	1	0	0	1	2	0	1	0	2	0	0	2	1	0	2	1	1	1	1	0	
isogroup00014252	10	6	4	8	9	9	5	10	12	4	4	4	4	5	0	7	1	2	1	8	5	3	7	8	4	8	4	12	4	6	4	3	8	5	
isogroup00014253	34	12	20	21	4	23	14	21	12	16	17	7	16	13	17	15	17	19	14	24	13	5	18	14	18	26	14	18	9	21	12	14	24	10	
isogroup00014254	0	2	1	5	3	8	3	7	2	5	2	3	5	3	6	2	4	5	4	4	2	3	3	8	2	2	3	4	1	2	6	6	4	6	
isogroup00014255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	1	0	2	0	0	0	0	
isogroup00014256	2	4	3	3	6	3	1	1	0	2	2	8	4	4	4	7	5	4	6	4	6	4	5	2	6	8	7	5	4	3	5	3	7	0	
isogroup00014257	86	75	73	60	48	59	48	97	83	47	43	35	77	40	61	49	53	93	32	56	63	45	66	25	56	76	54	47	47	36	38	53	55	71	
isogroup00014258	2	1	2	1	3	1	0	7	1	2	0	1	0	1	0	5	4	0	5	1	2	5	0	0	0	3	3	0	2	1	3	1	5	1	
isogroup00014259	8	13	3	18	3	4	10	10	1	1	13	3	11	3	20	0	4	11	4	1	19	7	12	1	13	6	2	9	7	14	8	13	5	8	
isogroup00014260	2	7	1	9	0	3	7	4	0	1	10	1	9	2	12	5	0	14	2	4	11	0	6	0	7	6	5	7	0	11	1	7	1	8	
isogroup00014261	23	12	20	29	21	13	16	25	14	17	20	6	8	8	12	15	18	26	10	21	15	26	16	10	9	21	17	25	12	19	15	13	18	16	
isogroup00014262	6	4	1	10	5	3	8	2	1	3	10	4	5	7	12	4	4	15	3	1	10	7	3	3	3	4	2	6	3	7	7	3	7	8	
isogroup00014263	453	351	475	393	390	359	156	209	165	385	342	332	369	435	344	380	394	392	355	421	365	357	363	271	316	509	369	310	298	290	387	351	449	277	
isogroup00014264	60	66	55	65	54	50	39	62	28	52	56	39	59	46	69	48	57	61	28	55	56	42	67	20	62	71	44	60	49	46	34	51	63	57	
isogroup00014265	6	33	4	24	13	8	16	4	1	4	24	5	26	1	17	5	9	22	6	5	28	8	22	3	17	5	5	14	5	16	4	19	7	27	
isogroup00014266	51	66	44	58	47	26	35	48	23	35	44	29	69	34	53	36	40	59	33	58	75	45	62	28	53	44	53	56	36	30	25	56	39	58	
isogroup00014267	0	0	0	1	0	1	0	1	0	0	0	0	1	1	2	0	1	3	3	0	0	3	1	1	1	0	2	1	0	2	2	0	1	2	
isogroup00014268	25	3	12	5	7	0	0	2	1	16	3	6	3	13	2	15	14	3	10	13	3	3	3	1	0	4	13	2	10	5	12	2	17	2	
isogroup00014269	4	1	4	0	1	0	0	7	2	5	3	1	0	7	0	2	1	2	2	3	0	2	0	1	1	4	5	0	1	2	2	0	7	2	
isogroup00014270	6	13	9	13	12	4	17	7	0	6	15	6	15	12	10	10	3	13	5	9	12	10	20	6	13	7	9	11	9	7	10	6	8	18	
isogroup00014271	7	3	5	5	14	4	3	5	6	12	4	15	3	13	3	5	3	7	9	8	6	7	6	10	9	18	7	7	19	8	8	5	14	12	
isogroup00014272	11	8	10	6	16	2	3	6	17	17	8	17	4	7	13	13	14	7	8	5	7	9	5	6	7	10	21	10	20	10	5	6	13	5	
isogroup00014273	2	7	3	4	7	13	7	7	8	6	6	3	2	5	5	2	3	2	5	5	3	2	5	4	7	9	4	4	7	6	4	3	7	3	
isogroup00014274	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	2	0	1	0	2	0	2	0	
isogroup00014275	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	
isogroup00014276	58	18	16	9	24	31	12	14	12	24	7	41	8	13	1	29	26	19	32	21	10	25	12	11	10	17	25	14	16	9	23	12	10	8	
isogroup00014277	59	21	25	16	25	33	18	55	56	57	17	58	36	16	18	37	30	21	32	29	17	34	20	24	17	28	49	15	29	9	26	16	16	19	
isogroup00014278	15	1	9	3	17	14	4	16	8	12	1	18	2	8	1	9	13	3	8	8	2	4	4	5	5	16	17	2	6	3	9	3	9	1	
isogroup00014279	3	1	1	1	2	3	1	7	1	3	1	1	1	2	0	3	1	3	3	5	2	3	1	1	0	1	4	1	5	1	1	0	4	2	
isogroup00014280	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	3	0	1	0	1	0	0	1	0	0	1	0	1	1	
isogroup00014281	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014282	0	222	1	504	11	18	160	2	7	0	261	1	422	11	569	2	0	479	2	0	260	0	365	0	472	1	1	495	1	463	3	246	1	151	
isogroup00014283	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup00014284	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	
isogroup00014285	938	778	1007	815	752	939	529	952	615	942	609	808	1006	1059	678	766	930	814	748	1260	785	625	744	639	668	1276	821	763	749	677	768	788	1072	518	
isogroup00014286	75	14	61	8	45	62	8	114	80	60	3	37	6	40	11	52	85	9	39	74	15	41	8	44	8	77	78	14	49	10	37	5	60	8	
isogroup00014287	57	18	46	32	37	41	12	65	27	53	21	32	9	59	12	49	37	27	30	52	18	41	23	41	19	59	63	10	49	23	37	17	55	20	
isogroup00014288	3	5	6	5	11	6	6	5	3	6	1	4	5	7	1	3	9	4	4	3	2	7	3	6	2	9	8	3	6	3	7	2	4	2	
isogroup00014289	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	
isogroup00014290	47	0	44	2	54	28	0	31	16	20	0	23	2	13	0	27	36	2	17	52	0	23	1	19	0	50	49	0	32	0	29	1	32	2	
isogroup00014291	30	29	33	32	37	47	27	25	9	27	33	33	34	33	32	38	25	34	38	42	42	35	40	15	24	27	38	24	41	18	36	27	45	28	
isogroup00014292	88	75	74	87	83	64	52	137	45	57	62	71	84	68	70	65	65	66	69	99	65	55	70	59	61	89	76	59	67	50	72	60	92	61	
isogroup00014293	3	0	10	2	0	1	1	1	0	2	1	3	2	5	1	5	4	1	3	4	1	1	0	0	1	1	6	2	1	0	9	1	2	3	
isogroup00014294	0	0	0	0	1	1	1	0	0	1	0	0	0	2	1	1	0	2	0	1	1	1	2	0	0	0	0	0	1	0	1	1	1	0	
isogroup00014295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup00014296	0	3	0	1	1	0	4	0	1	0	2	0	2	2	2	2	0	4	0	0	2	0	2	1	6	2	0	1	0	5	0	2	0	2	
isogroup00014297	7	6	13	6	2	11	9	6	3	4	3	6	6	4	4	12	5	8	6	6	8	6	6	2	7	7	2	3	5	7	7	8	6	1	
isogroup00014298	10	7	6	8	2	9	2	3	4	2	7	4	7	9	6	2	7	10	6	4	5	4	3	0	4	6	9	7	2	7	11	5	7	3	
isogroup00014299	296	825	450	835	387	392	589	362	192	378	584	375	876	473	741	428	352	870	354	382	860	357	787	310	876	530	377	810	416	715	329	669	402	604	
isogroup00014300	163	613	295	670	361	253	431	176	127	231	440	262	628	382	533	259	207	596	310	244	609	305	596	189	563	284	247	497	255	484	360	469	335	463	
isogroup00014301	23	19	12	15	6	5	8	20	12	12	15	10	18	13	14	9	17	20	17	19	14	17	15	6	12	15	10	5	12	22	8	14	16	13	
isogroup00014302	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	2	2	1	0	0	2	0	0	1	1	1	1	1	1	0	0	
isogroup00014303	18	17	22	14	16	21	6	28	16	18	7	11	16	13	10	6	19	12	13	15	14	4	18	13	4	10	6	8	10	9	10	13	15	11	
isogroup00014306	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014307	4	0	3	2	4	3	0	3	2	3	0	2	2	2	1	2	0	0	0	5	4	3	4	3	1	6	3	1	3	3	2	0	5	2	
isogroup00014308	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
isogroup00014309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014310	0	1	0	1	3	0	2	0	0	2	0	1	2	1	1	2	0	1	0	3	3	4	3	0	0	0	1	2	1	4	0	5	1	3	
isogroup00014311	2	2	7	4	8	5	1	4	5	10	2	4	2	2	3	5	3	3	3	2	2	3	6	0	2	6	3	2	13	4	3	3	5	2	
isogroup00014312	6	23	14	30	19	13	18	36	67	21	38	15	39	5	39	16	26	34	13	15	29	9	38	11	16	14	17	19	11	12	17	26	17	16	
isogroup00014313	0	0	1	1	1	0	1	2	1	0	1	1	0	2	0	2	0	1	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	1	
isogroup00014314	3	1	7	4	7	6	1	8	4	6	5	7	3	1	4	7	4	7	6	7	7	3	2	1	3	4	6	7	6	6	3	3	8	2	
isogroup00014315	10	7	9	1	14	16	2	23	26	16	1	13	0	10	3	15	21	4	23	26	2	12	5	10	4	12	22	6	17	1	6	2	9	2	
isogroup00014316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup00014318	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup00014319	11	16	9	16	12	17	26	31	13	9	13	6	15	9	10	6	6	15	8	2	12	17	11	6	12	14	6	12	3	12	4	10	7	14	
isogroup00014320	2	0	4	0	1	5	0	9	2	4	0	5	0	7	0	8	5	0	3	6	0	5	0	1	0	1	4	0	3	0	3	0	7	0	
isogroup00014321	27	6	28	4	27	11	1	24	6	24	3	14	8	24	3	26	13	3	11	31	7	29	11	31	6	34	27	8	39	5	23	7	35	8	
isogroup00014322	0	2	11	1	9	1	0	9	3	13	5	8	6	9	4	4	7	0	5	4	5	5	3	0	0	7	15	2	8	1	10	2	9	2	
isogroup00014323	7	4	10	5	9	7	7	9	2	10	2	4	6	9	7	6	5	12	3	3	11	4	5	6	7	9	12	6	2	5	6	1	11	7	
isogroup00014324	5	8	4	5	4	2	8	6	2	11	3	3	10	3	7	4	5	9	3	14	12	2	5	4	8	9	8	9	1	6	4	1	2	3	
isogroup00014325	4	2	1	0	4	3	0	3	0	0	0	2	1	1	1	1	2	0	0	1	0	1	1	2	2	1	3	1	0	1	0	0	1	0	
isogroup00014326	18	17	13	14	18	24	11	28	13	27	16	18	24	13	25	23	19	10	25	25	15	22	12	5	20	23	26	16	19	9	25	23	23	15	
isogroup00014327	86	28	82	36	79	83	24	68	52	93	14	96	23	93	21	77	85	30	83	91	24	52	22	56	20	100	86	27	75	23	88	19	113	24	
isogroup00014328	17	7	3	6	12	9	3	14	10	18	5	9	12	12	7	14	11	13	5	16	13	5	14	11	8	21	14	6	16	7	18	7	10	9	
isogroup00014329	22	19	14	17	20	14	9	34	12	19	15	9	22	16	13	20	19	18	9	34	9	18	9	12	14	36	25	11	14	8	19	7	14	8	
isogroup00014330	32	7	35	7	25	24	6	62	43	46	5	28	13	27	5	18	26	4	23	31	10	17	8	17	5	44	21	10	16	7	18	9	37	5	
isogroup00014331	45	24	52	33	44	48	16	74	25	50	18	39	42	56	24	47	51	31	26	56	18	41	31	27	25	51	48	22	28	26	38	21	48	25	
isogroup00014332	10	7	12	7	1	3	4	0	0	16	5	9	5	21	5	3	18	8	8	10	6	11	5	2	0	5	2	1	4	2	10	8	8	6	
isogroup00014333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014334	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	1	
isogroup00014335	2	1	0	0	2	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	0	4	1	0	0	0	1	0	1	
isogroup00014336	113	75	106	68	84	74	46	87	43	93	38	69	88	93	60	81	95	57	69	110	72	61	73	44	42	125	98	58	66	43	86	45	122	66	
isogroup00014337	6	5	13	4	10	3	4	3	2	3	8	4	8	10	3	8	6	3	6	3	5	12	6	7	3	9	10	10	6	7	7	7	9	7	
isogroup00014338	21	11	16	8	11	11	10	29	14	13	7	7	14	9	9	10	15	14	5	18	8	9	14	11	8	13	16	9	9	10	17	15	17	6	
isogroup00014339	0	1	1	0	0	2	2	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	5	1	
isogroup00014340	6	0	3	2	8	4	3	29	4	5	1	2	2	4	1	10	2	0	3	1	1	6	1	1	3	2	9	1	3	1	6	1	11	1	
isogroup00014341	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup00014342	4	1	4	1	14	5	0	54	7	2	0	3	0	2	0	22	6	2	2	1	0	2	1	6	4	25	12	2	13	1	2	0	2	0	
isogroup00014343	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup00014344	49	7	34	2	15	15	7	46	6	21	6	19	3	28	3	13	27	3	19	28	7	22	3	10	2	34	20	4	18	2	27	6	63	4	
isogroup00014345	3	0	3	1	1	0	0	2	2	2	0	1	1	4	0	1	1	2	1	1	1	3	1	1	1	1	7	0	2	3	2	1	6	1	
isogroup00014346	31	2	18	1	17	18	2	29	8	14	0	6	2	10	0	18	14	3	11	16	1	7	0	13	2	20	11	4	12	2	13	2	33	1	
isogroup00014347	13	1	13	1	6	13	2	38	10	25	3	3	1	12	2	8	15	0	10	20	1	4	2	11	0	21	11	5	13	1	8	1	34	0	
isogroup00014348	65	14	81	9	82	23	20	65	39	47	18	43	15	68	10	52	47	11	63	51	17	96	21	37	18	57	51	12	77	20	88	9	154	14	
isogroup00014349	6	7	6	8	5	6	8	8	2	2	7	11	6	2	11	4	10	3	2	5	2	2	4	5	0	7	6	0	8	1	4	3	0	4	
isogroup00014350	23	21	20	23	19	16	19	16	7	11	9	13	21	11	14	26	20	25	16	18	16	16	19	15	19	29	21	15	35	10	15	11	20	16	
isogroup00014351	16	14	7	16	20	6	13	15	7	15	10	10	12	11	11	16	10	11	10	16	12	15	9	11	14	27	17	12	15	8	18	12	14	8	
isogroup00014352	0	0	2	0	1	0	0	0	1	0	1	1	2	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	
isogroup00014353	2	1	4	2	0	0	0	0	1	1	3	0	2	1	0	1	0	0	2	1	0	0	1	0	0	1	1	0	2	1	2	0	2	1	
isogroup00014354	1	0	0	0	1	0	0	5	2	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	
isogroup00014355	0	0	1	0	0	0	0	0	2	1	0	1	0	1	0	1	0	0	2	1	0	1	1	1	0	0	0	0	0	0	2	0	1	0	
isogroup00014356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup00014357	2	1	0	1	5	3	1	3	1	2	0	1	0	4	0	1	4	0	4	5	1	2	1	0	0	1	5	0	6	0	0	0	0	0	
isogroup00014358	7	1	7	0	7	2	0	1	1	11	2	11	0	8	0	9	12	0	7	2	0	5	1	2	1	12	5	1	8	0	5	0	15	0	
isogroup00014359	1	1	4	0	3	1	0	3	1	2	0	1	0	4	1	6	3	2	1	1	2	1	3	3	2	1	5	0	3	0	3	0	6	0	
isogroup00014360	2	2	0	1	2	1	2	2	2	1	5	1	5	2	1	2	2	2	0	0	0	4	0	0	5	0	1	3	1	2	6	3	1	3	
isogroup00014361	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	0	1	0	0	0	1	2	1	1	1	0	0	0	1	0	
isogroup00014362	71	42	52	71	58	55	53	28	21	47	51	61	78	42	45	49	64	67	64	56	60	36	60	31	58	61	51	59	40	36	45	38	41	45	
isogroup00014363	23	27	35	43	27	19	28	26	10	20	28	17	55	18	27	22	21	38	19	37	47	21	44	16	27	29	30	41	21	33	28	35	34	24	
isogroup00014364	20	1	19	0	31	12	1	12	4	11	0	12	1	18	0	23	12	1	9	11	2	20	1	12	0	17	25	1	17	0	25	2	13	1	
isogroup00014366	9	2	11	5	3	9	2	5	3	3	2	2	3	6	5	6	4	4	2	9	6	7	6	1	4	4	10	3	9	1	6	10	7	0	
isogroup00014367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	
isogroup00014368	26	15	32	17	25	18	11	24	11	36	16	17	12	20	24	15	19	13	18	23	12	17	16	23	18	38	34	14	13	18	23	16	26	14	
isogroup00014369	4	6	2	11	0	7	10	6	2	2	5	2	8	4	7	0	8	8	0	2	10	5	6	2	7	5	2	5	2	10	3	7	5	6	
isogroup00014370	2	1	1	0	3	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	3	1	
isogroup00014371	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014372	0	0	0	0	0	1	1	1	1	1	1	0	3	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	1	
isogroup00014373	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	
isogroup00014374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup00014375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup00014376	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup00014377	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	
isogroup00014378	5	0	3	3	1	2	2	4	2	4	2	1	0	5	5	1	3	4	1	2	1	4	3	1	2	2	3	3	3	1	2	3	2	2	
isogroup00014379	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00014380	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
isogroup00014381	58	12	41	16	75	33	5	74	44	55	7	51	16	55	5	38	45	14	44	48	22	46	10	45	7	78	34	9	66	7	51	11	53	7	
isogroup00014382	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup00014384	3	0	3	0	1	5	0	1	2	6	0	4	0	4	0	1	0	0	3	1	0	3	0	0	0	0	1	0	3	0	0	0	6	1	
isogroup00014385	10	2	6	5	3	8	3	22	7	12	7	6	0	9	2	6	13	2	5	12	2	9	3	9	3	9	18	1	5	2	5	2	7	5	
isogroup00014386	3	0	1	0	1	1	1	0	0	0	1	2	1	1	0	0	2	0	1	3	0	0	0	0	0	2	2	0	2	1	0	0	2	0	
